GPA,Number_Of_Professional_Connections,Earnings,Major,Graduation_Year,Number_Of_Credits,Number_Of_Parking_Tickets
2.12,121,10219.42,Humanities,1993,122,1
2.59,4,10258.55,Humanities,2000,122,2
2.41,14,10236.66,Humanities,1973,127,0
2.23,10,10229.65,Humanities,2004,121,1
2.65,13,10257.32,Humanities,1962,121,0
3.57,15,10350.24,Humanities,1997,120,1
2.45,42,10244.35,Humanities,1966,121,0
2.24,13,10220.28,Humanities,1964,120,0
2.33,7,10233.94,Humanities,1995,120,0
2.04,56,10205,Humanities,1963,130,2
1.7,13,10177.71,Humanities,2015,122,1
2.56,39,10262.39,Humanities,1980,121,3
2.99,41,10305.4,Humanities,1967,122,0
2.25,10,10221.86,Humanities,2005,124,0
2.14,17,10226.75,Humanities,1964,120,3
2.56,54,10247,Humanities,1997,120,1
2.9,9,10288.56,Humanities,1964,123,0
2.79,21,10297.09,Humanities,2005,127,0
2.44,13,10240.97,Humanities,1972,121,0
2.4,7,10236.04,Humanities,1999,120,1
2.29,14,10222.21,Humanities,1979,123,0
2.35,41,10225.99,Humanities,1989,122,4
2.43,13,10232.52,Humanities,1971,120,2
2.25,23,10225.12,Humanities,1971,122,0
2.14,15,10217.42,Humanities,1972,121,0
1.96,34,10208.17,Humanities,1966,121,2
2.37,29,10232.22,Humanities,1994,121,2
2.35,35,10245.46,Humanities,2000,121,1
3.18,65,10329.38,Humanities,2002,120,0
1.86,22,10165.08,Humanities,1972,121,3
1.39,6,10157.03,Humanities,1965,121,1
2.92,11,10288.4,Humanities,1961,120,0
2.6,4,10258.23,Humanities,2001,121,0
2.96,31,10312.59,Humanities,2002,122,0
2.64,7,10257.21,Humanities,1973,120,0
2.21,3,10224.25,Humanities,1992,122,0
2.62,43,10261.23,Humanities,1977,121,2
2.43,7,10270.16,Humanities,1967,122,1
2.58,15,10258.35,Humanities,1980,120,1
2.97,13,10289.87,Humanities,2010,121,0
2.55,32,10253.94,Humanities,1991,121,2
2.32,8,10233.53,Humanities,1992,120,0
2.18,68,10216.54,Humanities,1991,123,0
2.45,32,10270.47,Humanities,1964,125,2
2.29,20,10209.93,Humanities,1987,121,3
3.04,15,10300.35,Humanities,2014,121,5
3.02,29,10313.83,Humanities,1967,126,1
2.88,34,10283.64,Humanities,1994,121,0
2.67,6,10253.28,Humanities,1962,121,1
2.58,11,10263.1,Humanities,1973,127,1
3.11,7,10312.23,Humanities,1970,121,0
2.62,36,10266.93,Humanities,1993,121,0
1.51,24,10135.46,Humanities,1966,125,2
3.71,16,10365.22,Humanities,2006,120,0
1.72,31,10178.69,Humanities,1982,120,0
2.34,22,10241.16,Humanities,1977,123,0
2.22,21,10214.88,Humanities,2010,123,0
2.88,109,10281.53,Humanities,1971,121,1
3.05,2,10302.34,Humanities,1971,125,0
2.73,18,10275.44,Humanities,1974,122,1
3.17,43,10338.88,Humanities,1985,127,0
1.93,19,10186.41,Humanities,1961,128,1
2.15,18,10209.51,Humanities,1993,123,1
1.72,37,10167.99,Humanities,1971,125,4
2.36,18,10241.06,Humanities,1987,120,1
1.78,4,10187.42,Humanities,1971,121,2
2.2,2,10214.06,Humanities,2012,122,1
1.83,1,10177.12,Humanities,2002,122,0
2.2,8,10220.52,Humanities,1966,129,0
1.71,24,10185.57,Humanities,2012,121,1
2.75,11,10286.81,Humanities,1966,121,0
2.98,29,10298.08,Humanities,1989,121,2
2.39,32,10221.09,Humanities,1963,126,0
2.89,13,10264.83,Humanities,2014,123,0
2.56,4,10267.79,Humanities,1977,121,0
2.1,3,10213.76,Humanities,1997,121,1
2.25,32,10236.98,Humanities,1987,121,0
2.52,0,10251.24,Humanities,2007,122,0
2.05,2,10201.74,Humanities,1995,122,1
2.54,8,10251.19,Humanities,1961,120,0
2.16,23,10223.55,Humanities,1998,122,0
2.89,46,10281.38,Humanities,1969,120,0
2.48,11,10243.55,Humanities,1995,122,0
1.84,9,10197.98,Humanities,1984,121,2
2.62,4,10254.58,Humanities,1963,120,3
3.42,9,10341.47,Humanities,1982,121,0
2.23,4,10233.97,Humanities,1963,123,0
2.03,12,10200.94,Humanities,1973,120,1
2.86,1,10305.79,Humanities,2012,126,0
2.85,7,10309.96,Humanities,2010,123,0
3.2,15,10343.45,Humanities,1993,120,1
2.66,3,10263.21,Humanities,2000,123,0
2.09,20,10214.99,Humanities,1970,123,2
2.43,21,10225.89,Humanities,1994,124,3
2.5,17,10261.45,Humanities,1965,120,0
2.24,13,10222.35,Humanities,2000,122,1
2.26,0,10225.48,Humanities,1967,125,1
2.95,41,10288.33,Humanities,1986,121,0
2.86,3,10306.46,Humanities,2009,122,1
3.05,7,10291.29,Humanities,1963,121,1
2.01,29,10186.94,Humanities,1993,123,2
2.63,6,10268.95,Humanities,2003,120,4
3.01,10,10298.44,Humanities,1969,120,0
2.01,41,10206.15,Humanities,1967,122,0
2.49,2,10249.63,Humanities,1985,127,2
2.84,44,10290.57,Humanities,2003,121,0
1.99,4,10200.06,Humanities,1966,123,1
2.11,9,10226.92,Humanities,1971,126,1
2.25,12,10214.22,Humanities,1967,121,1
2.32,7,10230.76,Humanities,2005,120,1
2.06,16,10215.13,Humanities,1969,121,0
2.75,6,10268.4,Humanities,1999,120,1
2.4,13,10219.42,Humanities,2009,120,2
3.14,18,10329.32,Humanities,1989,121,0
2.16,26,10225.63,Humanities,1997,121,1
3.33,34,10324.02,Humanities,1987,121,0
2.21,6,10230.57,Humanities,2009,128,3
1.92,10,10195.7,Humanities,1980,126,1
3.34,2,10323.48,Humanities,1977,121,0
2.86,7,10309.51,Humanities,1990,120,0
2.56,27,10245.56,Humanities,2005,121,0
3.37,60,10321.08,Humanities,1999,120,1
2.71,43,10270.48,Humanities,2010,121,0
2.56,18,10242.65,Humanities,2006,122,1
1.95,3,10178.87,Humanities,2001,124,1
2.31,6,10237.64,Humanities,2006,121,5
3.47,19,10351.51,Humanities,2012,121,2
2.63,11,10261.64,Humanities,1965,123,2
2.22,20,10223.83,Humanities,1975,121,0
1.8,6,10173.44,Humanities,1997,120,4
2.29,8,10227.3,Humanities,2005,120,2
2.54,5,10259.58,Humanities,1971,121,0
3.02,21,10324.54,Humanities,1971,121,1
2.69,0,10263.77,Humanities,1985,120,0
2.64,0,10253.27,Humanities,1976,120,2
2.37,13,10232.83,Humanities,1990,121,2
1.99,1,10195.18,Humanities,1996,120,1
2.6,16,10258.48,Humanities,1966,121,0
2,97,10190.03,Humanities,1975,125,0
2.13,20,10213.89,Humanities,2007,121,2
1.66,23,10159.29,Humanities,2013,122,2
3.09,32,10319.77,Humanities,1975,122,1
2.34,31,10233.44,Humanities,1993,123,0
2.42,4,10234.02,Humanities,1979,121,1
2.41,57,10238.92,Humanities,1963,121,1
2.73,14,10268.32,Humanities,1983,120,0
2.43,27,10251.44,Humanities,1985,121,0
2.46,29,10231.6,Humanities,2005,123,1
2.9,4,10293.68,Humanities,1975,121,0
2.38,24,10240.8,Humanities,1964,121,1
2.21,15,10225.64,Humanities,2009,120,1
2.84,5,10291.46,Humanities,1965,126,1
2.83,29,10295.53,Humanities,1978,120,0
1.31,9,10133.34,Humanities,1961,120,2
2.76,6,10272.29,Humanities,2001,120,0
2.57,25,10252.39,Humanities,1978,120,1
2.84,38,10284.65,Humanities,1987,126,0
2.58,32,10247.77,Humanities,1993,123,1
2.2,5,10224.09,Humanities,1986,121,0
3.02,1,10289.15,Humanities,1988,121,0
2.75,6,10290.1,Humanities,1970,126,3
2.82,13,10269.19,Humanities,1979,122,0
2.28,56,10224.29,Humanities,1978,122,0
3.36,2,10332.31,Humanities,1989,120,2
2.51,10,10271.46,Humanities,1993,120,5
2.66,15,10249.57,Humanities,1979,122,1
2.94,25,10296.27,Humanities,1965,121,0
2.41,8,10230.24,Humanities,1987,121,1
2.35,55,10214.51,Humanities,2015,120,2
2.53,20,10254.33,Humanities,1989,120,2
2.97,17,10300.53,Humanities,1963,120,1
2.46,5,10245.25,Humanities,1978,123,0
2.98,36,10293.73,Humanities,2007,122,0
2.26,8,10220.66,Humanities,1984,121,0
2.54,42,10254.71,Humanities,2006,121,1
2.11,29,10207.87,Humanities,1997,123,0
1.95,27,10189.56,Humanities,1972,121,1
2.43,5,10246.67,Humanities,1998,124,1
1.7,7,10179.82,Humanities,2006,124,1
2.5,29,10240.36,Humanities,2012,122,0
2.39,0,10251.57,Humanities,1994,122,3
1.66,4,10175.71,Humanities,1993,123,2
3.22,9,10314.63,Humanities,1997,122,2
2.93,25,10287.9,Humanities,1987,120,0
2.73,31,10274.84,Humanities,2000,124,1
2.62,22,10265,Humanities,1964,122,0
2.69,8,10280.12,Humanities,1968,123,1
2.59,41,10244.92,Humanities,2013,120,0
3.5,18,10363.52,Humanities,1990,120,0
2.24,3,10217.05,Humanities,1975,120,0
2.32,1,10209.94,Humanities,1983,120,1
2.37,28,10226.31,Humanities,1969,123,0
2.86,7,10278.62,Humanities,1984,122,2
2.25,18,10228.09,Humanities,1974,120,1
2.43,31,10235.96,Humanities,1969,123,1
2.68,1,10261.27,Humanities,2006,121,1
2.74,2,10268.43,Humanities,1995,121,5
2.61,3,10265.69,Humanities,2009,120,0
1.83,22,10173.87,Humanities,1977,122,0
2.69,7,10272.89,Humanities,2001,122,0
2.7,100,10264.73,Humanities,1990,123,2
2.7,3,10258.73,Humanities,1965,121,1
2.05,8,10204.84,Humanities,2000,120,0
2.22,36,10230.58,Humanities,2012,121,0
2.45,45,10217.69,Humanities,2000,122,1
2.67,10,10259.69,Humanities,2003,122,1
2.15,9,10212.93,Humanities,1964,121,2
2.19,20,10218.71,Humanities,1970,120,1
2.82,1,10268.76,Humanities,1965,129,0
1.85,31,10203.17,Humanities,1969,120,0
2.02,7,10209.77,Humanities,2015,127,1
2.57,5,10245.82,Humanities,1963,120,1
2.5,20,10246.66,Humanities,1998,122,1
2.39,21,10224.23,Humanities,1987,120,4
2.39,2,10227.75,Humanities,1965,121,0
2.57,5,10247.83,Humanities,1986,121,0
3.1,17,10302.82,Humanities,1974,125,1
2.53,28,10247.9,Humanities,1997,123,0
2.46,2,10260.44,Humanities,1973,121,0
2.07,6,10196.19,Humanities,1974,120,5
2.71,16,10266.1,Humanities,1973,123,2
2.28,69,10227.78,Humanities,1989,121,2
2.55,36,10261.84,Humanities,1996,122,0
2.4,2,10240.66,Humanities,2003,121,0
2.65,14,10266.25,Humanities,1970,120,0
2.55,24,10269.3,Humanities,1964,121,1
2.14,32,10209.21,Humanities,2010,122,2
2.33,25,10240.96,Humanities,1995,121,0
2.71,8,10271.56,Humanities,1963,121,0
2.48,3,10231.38,Humanities,2007,128,0
2.63,13,10261.03,Humanities,2013,122,1
3.26,13,10331.35,Humanities,1968,121,1
3.17,5,10312.68,Humanities,1981,121,0
2.48,5,10250.02,Humanities,1996,120,0
3.2,53,10324.92,Humanities,1976,122,0
1.94,42,10215.93,Humanities,2010,121,1
2.48,5,10238.15,Humanities,2013,121,2
2.91,3,10280.14,Humanities,2005,128,2
1.97,22,10196.31,Humanities,1998,122,1
2.15,19,10208.07,Humanities,1992,124,0
1.97,6,10197.54,Humanities,2013,132,1
1.89,5,10200.75,Humanities,2003,121,0
2.46,1,10233.41,Humanities,1968,123,2
2.77,4,10275.13,Humanities,1990,122,2
2.26,28,10235.3,Humanities,1982,123,1
3.34,22,10326.85,Humanities,1963,122,1
2.15,20,10214.43,Humanities,1995,121,2
2.23,3,10229.71,Humanities,1965,121,0
2.23,8,10239.82,Humanities,2000,122,0
2.78,29,10268.01,Humanities,1991,120,1
2.71,6,10262.72,Humanities,1993,121,0
1.85,13,10176,Humanities,1980,125,1
2.13,12,10223.72,Humanities,1984,124,0
1.67,29,10167.99,Humanities,1966,123,1
2.41,14,10232.38,Humanities,2011,120,1
2.8,12,10278.32,Humanities,1978,121,0
2.83,13,10279.31,Humanities,1992,121,0
2.66,16,10281.19,Humanities,1977,120,0
2.92,6,10271.49,Humanities,1996,121,0
2.27,9,10232.37,Humanities,2014,120,2
1.52,4,10160.94,Humanities,2003,121,1
1.28,11,10135.61,Humanities,1962,121,0
2.13,8,10211.06,Humanities,1982,121,2
3.12,15,10303.01,Humanities,2011,122,1
2.35,62,10233.61,Humanities,1983,121,2
2.54,1,10238.59,Humanities,1989,121,0
2.45,7,10221.49,Humanities,2005,128,2
1.76,6,10180.67,Humanities,1989,121,1
2.35,30,10236.62,Humanities,2014,121,0
1.91,56,10178.82,Humanities,1996,124,1
2.59,15,10265.73,Humanities,1964,123,3
1.79,5,10190.8,Humanities,1981,124,2
2.29,5,10232.18,Humanities,1977,121,2
2.95,1,10304.88,Humanities,2004,121,2
2.83,5,10304.47,Humanities,2005,120,1
2.88,2,10308.16,Humanities,1992,123,3
2.36,94,10219.71,Humanities,2000,123,2
2.62,8,10256.28,Humanities,2010,121,4
2.48,13,10257.86,Humanities,1997,124,0
1.99,46,10189.01,Humanities,1990,121,2
2.05,7,10207.02,Humanities,1977,122,0
2.73,105,10260.16,Humanities,1997,126,0
2.35,0,10218.77,Humanities,1992,120,1
2.75,27,10263.69,Humanities,2010,122,1
2.85,5,10305.74,Humanities,1962,121,2
2.86,32,10282.87,Humanities,1976,120,1
2.01,16,10214.65,Humanities,2002,125,0
2.68,1,10259.65,Humanities,1983,123,1
2.2,32,10200.25,Humanities,2010,121,0
2.77,18,10275.59,Humanities,2004,121,1
2.67,52,10263.28,Humanities,1978,120,0
2.28,0,10239.5,Humanities,2014,121,2
2.46,24,10248.63,Humanities,2003,122,0
2.04,5,10188.73,Humanities,1985,122,0
1.87,17,10190.15,Humanities,1978,121,0
2.61,26,10267.4,Humanities,1968,124,3
2.2,35,10237.68,Humanities,1976,121,4
3.53,8,10350.05,Humanities,1982,121,1
2.71,47,10269.05,Humanities,2015,120,0
2.81,3,10270.74,Humanities,1979,120,0
2.37,3,10235.57,Humanities,1993,124,0
2.92,21,10298.48,Humanities,2005,120,1
2.68,33,10255.87,Humanities,1991,124,1
2.5,0,10249.02,Humanities,1975,124,0
2.5,19,10245.77,Humanities,1964,120,0
3.06,2,10312.02,Humanities,2011,123,1
2.17,11,10212.1,Humanities,1962,122,0
2.17,22,10213.36,Humanities,1978,123,0
2.91,0,10298.97,Humanities,1972,122,0
2.48,52,10255.92,Humanities,1985,121,1
2.84,2,10291.69,Humanities,1997,120,0
2.37,36,10251.83,Humanities,1974,121,2
2.84,15,10263.2,Humanities,1998,120,1
2.39,6,10243.8,Humanities,1998,121,0
2.87,79,10317.7,Humanities,2000,120,0
2.54,16,10257.98,Humanities,1972,120,0
2.56,1,10264.89,Humanities,1978,121,2
3.39,13,10337.44,Humanities,1999,120,1
2.34,10,10234.43,Humanities,2015,124,1
2.36,12,10253.3,Humanities,2010,121,0
2.53,1,10253.7,Humanities,1969,122,0
1.77,8,10157.97,Humanities,1994,121,1
3.11,7,10304.87,Humanities,1988,122,1
2.64,31,10262.76,Humanities,1968,124,1
2.23,8,10228.62,Humanities,1997,120,0
3.03,10,10308.17,Humanities,2000,123,0
1.94,48,10194.91,Humanities,1994,121,1
2.56,25,10259.32,Humanities,1979,121,1
3.22,16,10315.95,Humanities,1972,123,0
2.28,47,10229.7,Humanities,1996,124,3
1.68,2,10179.72,Humanities,1999,120,1
3.06,31,10308.76,Humanities,1961,121,0
2.38,0,10237.18,Humanities,2001,124,2
2.5,7,10253.97,Humanities,1988,123,0
2.7,21,10271.55,Humanities,1964,125,2
2.58,2,10246.23,Humanities,1963,120,0
2.43,10,10238.42,Humanities,1980,123,0
2.68,5,10249.38,Humanities,1983,127,2
2.26,11,10211.21,Humanities,2014,122,2
2.32,43,10224.67,Humanities,1979,122,0
2.96,23,10293.55,Humanities,2005,129,1
3.24,11,10326.39,Humanities,1961,122,0
2.54,5,10249.11,Humanities,1962,122,1
2.7,60,10277.31,Humanities,1969,120,1
2.81,28,10276.64,Humanities,1982,120,2
2.91,2,10267.56,Humanities,1976,120,1
3.21,7,10318.57,Humanities,1991,123,0
2.75,3,10285.51,Humanities,1961,120,0
2.46,54,10238.59,Humanities,2001,121,0
2.68,27,10283.66,Humanities,2006,122,0
3.11,7,10309.18,Humanities,1983,120,0
2.94,2,10290.81,Humanities,2013,120,1
2.86,5,10270.74,Humanities,1996,126,0
2.45,1,10269.92,Humanities,1964,122,2
3.14,7,10311.72,Humanities,1972,120,2
2.99,9,10287.04,Humanities,2000,121,0
2.69,8,10261.06,Humanities,1978,133,1
2.48,21,10268.39,Humanities,1989,120,2
2.08,59,10195.6,Humanities,2012,120,1
1.51,6,10177.96,Humanities,2012,120,1
2.92,49,10288.62,Humanities,2008,128,3
2.76,12,10284.97,Humanities,2005,120,2
2.75,16,10264.9,Humanities,1972,121,0
2.21,25,10226.7,Humanities,1971,120,1
3.07,46,10306.85,Humanities,2009,124,0
2.99,14,10308.34,Humanities,2000,121,3
3.06,1,10317.04,Humanities,1970,121,0
2.79,6,10278.12,Humanities,2013,122,4
2.53,5,10261.69,Humanities,1976,121,1
2.7,20,10257.42,Humanities,1972,120,1
2.32,104,10230.45,Humanities,2009,120,0
2.28,1,10236.46,Humanities,2008,121,6
1.9,52,10202.8,Humanities,2001,128,2
2.9,34,10291.89,Humanities,1980,125,1
2.26,3,10232.14,Humanities,2005,122,1
3.35,11,10329.17,Humanities,1990,121,1
2.66,13,10282.04,Humanities,1981,123,2
2.81,44,10267.96,Humanities,1987,124,3
3.02,1,10312.2,Humanities,1973,121,1
2.22,11,10211.92,Humanities,2004,124,2
2.65,86,10262.29,Humanities,1990,122,1
2.9,105,10294.83,Humanities,1963,122,2
1.95,18,10181.18,Humanities,1987,120,2
2.67,8,10270.87,Humanities,2012,120,0
2.07,47,10203.45,Humanities,1986,124,0
2.89,2,10288.55,Humanities,1995,126,2
2.97,36,10288.66,Humanities,2003,120,0
3.09,2,10305.51,Humanities,2015,122,1
2.98,48,10298.35,Humanities,1992,125,0
2.94,25,10294.69,Humanities,1976,121,0
2.72,0,10282.48,Humanities,1965,121,1
1.9,6,10178.65,Humanities,1969,121,1
2.9,19,10276.68,Humanities,1974,121,1
2.86,57,10304.29,Humanities,1966,120,1
2.61,9,10256.55,Humanities,1983,120,0
2.38,4,10251.09,Humanities,1987,122,4
1.79,43,10203.45,Humanities,1986,125,2
2.52,11,10263.78,Humanities,1993,120,2
2.85,6,10279.86,Humanities,2003,120,0
2.44,12,10246.66,Humanities,1982,122,3
2.41,6,10259.09,Humanities,1989,123,0
2.44,1,10247.63,Humanities,1995,131,1
3.09,35,10295.79,Humanities,2007,120,0
2.36,1,10225.91,Humanities,1967,121,0
2.17,0,10213.04,Humanities,1974,122,0
2.54,22,10259.59,Humanities,2007,124,1
2.17,68,10210.65,Humanities,1975,122,3
2.37,14,10241.96,Humanities,2009,120,5
3.55,61,10373.36,Humanities,2003,121,1
1.9,70,10184.29,Humanities,1981,124,2
2.72,8,10283.08,Humanities,2012,122,1
2.13,8,10232.14,Humanities,1987,123,1
3.29,16,10332.87,Humanities,2012,122,1
2.02,14,10214.15,Humanities,1995,120,4
2.58,1,10250,Humanities,2003,120,1
2.23,36,10220.32,Humanities,1991,120,1
2.29,24,10222.96,Humanities,1985,125,2
2.22,21,10231.96,Humanities,1989,121,1
2.67,16,10255.59,Humanities,2004,122,2
2.67,38,10265.37,Humanities,1977,123,0
2.94,4,10290.71,Humanities,1999,123,1
2.76,11,10281.71,Humanities,2000,120,0
2.26,16,10201.77,Humanities,1974,120,1
2.97,1,10286.41,Humanities,1985,122,8
1.86,1,10195.74,Humanities,1976,121,0
2.34,48,10231.72,Humanities,1995,120,2
2.52,7,10257.15,Humanities,2007,121,2
2.75,32,10274.59,Humanities,1970,121,0
2.5,2,10238.98,Humanities,2012,121,0
2.33,84,10227.36,Humanities,1985,122,0
2.47,13,10248.53,Humanities,2015,121,0
2.64,25,10276.94,Humanities,2009,122,1
2.31,22,10233.41,Humanities,1997,121,0
2.79,10,10278.85,Humanities,1993,121,0
2.16,24,10217.3,Humanities,2011,121,1
2.41,20,10261.98,Humanities,1976,124,0
2.82,14,10289.73,Humanities,1996,120,0
1.96,30,10184.62,Humanities,1970,121,1
2.67,24,10273.67,Humanities,2015,124,1
2.51,22,10253.83,Humanities,1993,122,0
2.18,23,10226.12,Humanities,2009,121,3
2.07,2,10210.51,Humanities,2005,124,0
2.22,11,10225.41,Humanities,2012,124,1
1.78,8,10166.78,Humanities,1968,124,1
2.24,5,10224.73,Humanities,2006,121,1
2.64,16,10253.19,Humanities,1964,122,1
2.53,57,10247.54,Humanities,1999,122,1
2.16,55,10225.12,Humanities,2006,128,1
2.16,72,10220.2,Humanities,1985,121,1
2.77,1,10277.32,Humanities,1997,122,1
1.45,6,10137.71,Humanities,1971,121,0
3.25,7,10339.97,Humanities,1981,121,1
2.68,16,10270.49,Humanities,2006,126,2
1.9,27,10179.97,Humanities,1987,121,0
1.49,1,10137.22,Humanities,1986,121,1
2.54,15,10251.61,Humanities,1987,124,0
2.35,4,10244.78,Humanities,2009,120,2
2.59,18,10238.71,Humanities,2001,121,1
2.18,11,10219.05,Humanities,1998,122,1
2.68,41,10273.38,Humanities,1989,123,1
3.12,33,10322.51,Humanities,1985,125,1
2.92,4,10285.46,Humanities,1975,124,1
3.56,12,10361.85,Humanities,1997,121,1
2.94,24,10304.54,Humanities,1981,120,1
2.95,18,10290.27,Humanities,1977,122,0
2.45,3,10250.52,Humanities,1991,120,1
1.85,77,10173.95,Humanities,1971,120,0
1.87,24,10182.51,Humanities,1991,121,1
1.53,17,10169.07,Humanities,1987,122,1
2.32,5,10240.93,Humanities,1974,130,1
2.48,1,10257.66,Humanities,1967,121,0
1.56,22,10169.06,Humanities,2015,120,0
2.47,26,10250.54,Humanities,1986,122,0
2.55,23,10259.52,Humanities,2015,120,0
2.17,16,10224.84,Humanities,1999,124,0
2.28,28,10215.42,Humanities,1990,121,2
2.14,4,10196.6,Humanities,2006,124,4
2.33,4,10239.33,Humanities,1961,130,3
2.57,16,10248.01,Humanities,1968,125,3
2.73,49,10276.16,Humanities,1974,122,1
2.94,12,10305.48,Humanities,2011,122,0
2.1,3,10218.56,Humanities,1973,121,0
2.61,30,10245.77,Humanities,1978,124,0
1.59,23,10158.58,Humanities,1965,128,2
2.27,3,10221.34,Humanities,1969,122,2
2.65,3,10265.14,Humanities,1997,121,0
2.23,70,10223.04,Humanities,2011,120,2
2.77,55,10274.5,Humanities,2015,123,1
1.91,8,10191.33,Humanities,2012,121,2
2.08,22,10207.83,Humanities,2006,121,2
2.59,0,10275,Humanities,1998,120,0
3.72,3,10368.26,Humanities,2002,121,1
2.29,3,10204.98,Humanities,1999,121,0
3.18,17,10310.22,Humanities,1964,124,1
2.17,31,10232.08,Humanities,1992,121,1
3.13,10,10313.64,Humanities,1974,120,1
2.36,57,10231.95,Humanities,1989,125,2
1.85,63,10202.46,Humanities,1993,121,2
1.88,53,10203.33,Humanities,1969,121,0
1.9,8,10200.75,Humanities,1977,121,0
2.48,6,10246.47,Humanities,2015,122,1
3.12,1,10299.21,Humanities,1972,122,0
3.19,36,10310.36,Humanities,1985,120,3
3.12,5,10318.4,Humanities,1985,120,3
2.49,32,10252.98,Humanities,2001,120,0
2.32,2,10223.7,Humanities,1978,120,1
1.98,17,10196.2,Humanities,1966,121,3
2.35,46,10225.23,Humanities,1966,121,1
1.98,10,10190.64,Humanities,1973,121,0
2.72,2,10278.57,Humanities,2003,127,3
2.32,27,10225.02,Humanities,1999,121,0
2.04,24,10193.69,Humanities,1967,121,2
2.6,6,10272.34,Humanities,1975,123,1
2.3,2,10242.62,Humanities,1986,121,1
2.64,8,10265.62,Humanities,2003,122,1
2.28,6,10236.24,Humanities,1978,120,0
3.48,20,10337.54,Humanities,2014,121,1
2.88,32,10301.5,Humanities,1982,120,0
1.8,7,10177.6,Humanities,1972,120,3
2.82,29,10293.57,Humanities,1996,120,2
2.84,9,10268.31,Humanities,1974,121,0
2.7,15,10273.9,Humanities,1965,120,0
1.67,3,10168.35,Humanities,2009,120,1
2.27,45,10216.8,Humanities,1972,120,0
2.42,22,10230.55,Humanities,1963,121,1
2.72,8,10270.51,Humanities,1995,125,0
2.64,2,10264.3,Humanities,1971,121,5
2.09,2,10205.76,Humanities,1965,123,0
2.3,3,10227.69,Humanities,1994,124,1
2.57,42,10267.82,Humanities,2011,120,0
1.93,50,10193.54,Humanities,2006,121,1
2.23,40,10219.52,Humanities,1966,121,0
2.23,8,10229.65,Humanities,2003,124,0
2.43,49,10222.01,Humanities,2013,128,0
3.09,12,10312.73,Humanities,1963,123,1
2.35,16,10228.51,Humanities,1972,123,0
2.93,39,10291.4,Humanities,1978,129,2
1.94,2,10196.59,Humanities,1982,120,0
2.8,41,10281.7,Humanities,2003,122,0
2.53,9,10237.33,Humanities,1970,121,1
2.75,21,10257.56,Humanities,1998,120,1
2.28,3,10217.18,Humanities,1971,122,2
2.11,6,10214.46,Humanities,1977,123,1
2.44,17,10228.53,Humanities,1964,122,0
2.35,2,10252.98,Humanities,1966,126,1
2.48,28,10255.96,Humanities,2001,120,0
2.21,4,10208.89,Humanities,1961,120,1
2.22,15,10226.42,Humanities,2005,120,1
3.3,0,10322.22,Humanities,1993,120,2
2.45,7,10250.1,Humanities,1969,121,0
3.2,6,10325.54,Humanities,1977,123,0
2.05,5,10202.33,Humanities,1998,124,1
2.74,37,10276.32,Humanities,1965,121,3
2.41,41,10245.45,Humanities,1992,121,1
4,46,10405.15,Humanities,1978,120,2
1.83,47,10172.6,Humanities,1982,123,0
2.1,16,10215.52,Humanities,1996,120,0
2.53,12,10252.26,Humanities,1983,122,0
2.77,0,10274.63,Humanities,1992,123,1
2.63,9,10251.54,Humanities,1963,129,2
1.78,11,10170.16,Humanities,2000,122,7
2.14,29,10214.97,Humanities,1971,120,1
3.23,6,10346.04,Humanities,1986,120,0
2.01,4,10211.11,Humanities,1967,120,6
2.75,33,10265.79,Humanities,1963,125,1
2.04,2,10205.96,Humanities,1963,121,0
2.22,7,10217.71,Humanities,1997,125,0
2.68,39,10266.96,Humanities,1979,120,2
2.75,12,10261.73,Humanities,1992,121,1
2.11,28,10213.54,Humanities,2000,126,0
2.32,15,10224.74,Humanities,1986,121,1
2.63,7,10263.21,Humanities,1963,120,0
3.46,58,10363.74,Humanities,2003,123,1
3.55,4,10334.56,Humanities,1991,122,1
2.28,35,10253.98,Humanities,1992,120,0
3.11,33,10309,Humanities,2010,121,0
3.12,41,10311.02,Humanities,2004,123,1
2.32,48,10230.19,Humanities,1990,122,0
3.13,10,10309.24,Humanities,1963,120,1
2.93,2,10287.4,Humanities,2006,120,2
2.22,9,10224.33,Humanities,1964,128,2
1.92,24,10202.03,Humanities,1995,121,1
2.6,10,10254.77,Humanities,1987,122,1
2.92,4,10292.44,Humanities,1982,122,2
2.64,12,10268.09,Humanities,1974,120,0
2.46,22,10239.03,Humanities,1985,120,2
2.51,22,10255.89,Humanities,1962,120,2
2.47,25,10228.33,Humanities,1969,123,1
2.22,25,10213.24,Humanities,1983,123,2
2.62,40,10251.06,Humanities,2006,121,0
2.01,27,10208.94,Humanities,1998,122,0
2.8,9,10262.16,Humanities,2010,121,1
2.43,64,10252.04,Humanities,1998,122,1
3.35,17,10313.57,Humanities,2014,125,2
2.92,36,10299.66,Humanities,1962,121,1
2.93,24,10280.13,Humanities,2002,120,0
3.16,4,10320.99,Humanities,1982,120,0
2.05,23,10184.6,Humanities,1990,125,2
2.68,7,10270.01,Humanities,2014,122,1
2.67,29,10277.7,Humanities,1993,122,2
2.1,3,10198.55,Humanities,2006,121,0
1.83,2,10188.45,Humanities,1987,121,2
3.14,5,10331.03,Humanities,1996,123,2
2.24,26,10238.59,Humanities,1992,120,0
3.24,4,10311.94,Humanities,1998,121,0
3.05,30,10284.46,Humanities,1989,122,0
